paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P13,Nickel,Ni,7440-02-0,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P14,Zinc,Zn,7440-66-6,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P15,Fluoride,F-,16984-48-8,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P16,Chloride,Cl-,16887-00-6,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P17,Nitrate,NO3-,14797-55-8,Nutrient,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P18,Sulfate,SO42-,14808-79-8,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P19,Bicarbonate,HCO3-,71-52-3,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P20,Phosphate,PO43-,14265-44-2,Nutrient,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P21,pH,pH,,Physicochemical,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P22,Electrical Conductivity,EC,,Physicochemical,µS/cm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P23,Total Dissolved Solids,TDS,,Physicochemical,mg/l,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P24,Oxidation-Reduction Potential,ORP,,Physicochemical,mV,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",data_source,,,,,,,,,,,,,,,"Page 3, bottom right; Page 4, Study area and sampling locations section",Surface water samples from river Yamuna were collected from 14 locations (L1-L14) in February 2013.,3-4
