Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
161,Prayagraj (PJ),,,2022,Pre-Monsoon,Nickel,0.0183±0.00164,0.0183,0.00164,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
162,Prayagraj (PJ),,,2022,Post-Monsoon,Iron,0.529 ± 0.1,0.529,0.1,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
163,Prayagraj (PJ),,,2022,Post-Monsoon,Manganese,0.081 ± 0.008,0.081,0.008,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
164,Prayagraj (PJ),,,2022,Post-Monsoon,Copper,0.095±0.0058,0.095,0.0058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
165,Prayagraj (PJ),,,2022,Post-Monsoon,Zinc,0.025±0.0058,0.025,0.0058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
166,Prayagraj (PJ),,,2022,Post-Monsoon,Cobalt,0.0275 ± 0.0027,0.0275,0.0027,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
167,Prayagraj (PJ),,,2022,Post-Monsoon,Cadmium,0.00171 ± 0.0001,0.00171,0.0001,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
168,Prayagraj (PJ),,,2022,Post-Monsoon,Lead,0.0346 ± 0.002517,0.0346,0.002517,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
169,Prayagraj (PJ),,,2022,Post-Monsoon,Chromium,0.117 ± 0.0208,0.117,0.0208,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
170,Prayagraj (PJ),,,2022,Post-Monsoon,Nickel,0.01243 ±0.0021,0.01243,0.0021,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
