measurement_id,paper_citation,original_source_citation,source_location,site_description,latitude,longitude,parameter_name,cas_number,category,matrix,sample_type,time_period,time_granularity,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,notes
294,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Phosphate,,Nutrient,,,non-monsoon (November to June),seasonal,,0.2,,,,,"Group NM-4 (Auraiya, Hamirpur, Pratappur)",,,mg/L,"source_quote: Group NM-4 comprised Auraiya, Hamirpur, and Pratappur. These sites are located downstream of the Yamuna River, and they had low BOD5 (1.78 mg/L), NH4+ (0.4 mg/L), NO3¯ (1.2 mg/L), and PO43 (0.2 mg/L)."
290,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Sulfate,,,,,non-monsoon (November to June),seasonal,,100.0,,,,,"Group NM-3 (Agra, Etawah)",,,mg/L,source_quote: The high Cl (209 mg/L) and SO42 (100 mg/L) elements could be due to contamination with undetected and untreated pesticide residues that impose a toxic impact across the river.
280,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Total Alkalinity,,,,,non-monsoon (November to June),seasonal,,142.0,,,,,"Group NM-1 (Paonta, Kalanaur, Mawi, Palla)",,,mg/L (as CaCO3),"source_quote: These sites are located at the upstream of the Yamuna River and described by low TA and TH values of 142 and 140 mg/L, respectively."
286,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Total Alkalinity,,,,,non-monsoon (November to June),seasonal,,294.0,,,,,"Group NM-3 (Agra, Etawah)",,,mg/L (as CaCO3),"source_quote: This group is located at the midstream of the Yamuna River, and it was characterized by high TDS (907 mg/L), TA (294 mg/L), TH (291 mg/L), and EC (1512 μS/cm)."
285,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Total Dissolved Solids,,,,,non-monsoon (November to June),seasonal,,907.0,,,,,"Group NM-3 (Agra, Etawah)",,,mg/L,"source_quote: This group is located at the midstream of the Yamuna River, and it was characterized by high TDS (907 mg/L), TA (294 mg/L), TH (291 mg/L), and EC (1512 μS/cm)."
281,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Total Hardness,,,,,non-monsoon (November to June),seasonal,,140.0,,,,,"Group NM-1 (Paonta, Kalanaur, Mawi, Palla)",,,mg/L (as CaCO3),"source_quote: These sites are located at the upstream of the Yamuna River and described by low TA and TH values of 142 and 140 mg/L, respectively."
287,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 14, 'Cluster analysis for non-monsoon' section",,,,Total Hardness,,,,,non-monsoon (November to June),seasonal,,291.0,,,,,"Group NM-3 (Agra, Etawah)",,,mg/L (as CaCO3),"source_quote: This group is located at the midstream of the Yamuna River, and it was characterized by high TDS (907 mg/L), TA (294 mg/L), TH (291 mg/L), and EC (1512 μS/cm)."
209,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,monsoon (July to October),seasonal,,,,4.5,7.9,,entire Yamuna River stretch,,,mg/L,source_quote: The DO concentrations ranged as 4.5-7.9 mg/L during monsoon and 1.7-6.6 mg/L in non-monsoon.
210,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,non-monsoon (November to June),seasonal,,,,1.7,6.6,,entire Yamuna River stretch,,,mg/L,source_quote: The DO concentrations ranged as 4.5-7.9 mg/L during monsoon and 1.7-6.6 mg/L in non-monsoon.
211,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,monsoon (July to October),seasonal,,5.9,,,,,entire Yamuna River stretch,,,mg/L,"source_quote: Additionally, the average value of DO during the monsoon period (5.9 mg/L) was higher than that during non-monsoon (4.7 mg/L)."
212,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,non-monsoon (November to June),seasonal,,4.7,,,,,entire Yamuna River stretch,,,mg/L,"source_quote: Additionally, the average value of DO during the monsoon period (5.9 mg/L) was higher than that during non-monsoon (4.7 mg/L)."
213,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,,seasonal,,,,,,,class B permissible limit,>,5.0,mg/L,"source_quote: The DO observations were within the permissible limit of class B (DO > 5 mg/L) at Paonta, Kalanaur, Mawi, and Palla (IS 1982)."
214,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Dissolved oxygen' section",,,,Dissolved Oxygen,,,,,,seasonal,,,,,,,class C permissible limit,>,4.0,mg/L,"source_quote: However, the DO levels declined for the sites of Delhi, Mohana, and Agra and reached class C (DO > 4 mg/L) (IS 1982)."
215,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section",,,,Biochemical Oxygen Demand (5-day),,,,,monsoon (July to October),seasonal,,6.6,,,,,entire Yamuna River stretch,,,mg/L,"source_quote: During monsoon, the average BOD5 concentration was 6.6 mg/L, which ranged from 0.9 mg/L at Pratappur to 26.8 mg/L at Agra."
216,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section","Pratappur, a downstream monitoring station on the Yamuna River",,,Biochemical Oxygen Demand (5-day),,,water,Grab sample,monsoon (July to October),seasonal,0.9,,,,,,,,,mg/L,"source_quote: During monsoon, the average BOD5 concentration was 6.6 mg/L, which ranged from 0.9 mg/L at Pratappur to 26.8 mg/L at Agra."
217,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section","Agra, a monitoring station on the Yamuna River",,,Biochemical Oxygen Demand (5-day),,,water,Grab sample,monsoon (July to October),seasonal,26.8,,,,,,,,,mg/L,"source_quote: During monsoon, the average BOD5 concentration was 6.6 mg/L, which ranged from 0.9 mg/L at Pratappur to 26.8 mg/L at Agra."
218,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section",,,,Biochemical Oxygen Demand (5-day),,,,,non-monsoon (November to June),seasonal,,14.7,,,,,entire Yamuna River stretch,,,mg/L,"source_quote: In non-monsoon, BOD5 ranged from 1.5 mg/L at Paonta to 53.9 mg/L at Delhi with an average value of 14.7 mg/L."
219,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section","Paonta, an upstream monitoring station on the Yamuna River",,,Biochemical Oxygen Demand (5-day),,,water,Grab sample,non-monsoon (November to June),seasonal,1.5,,,,,,,,,mg/L,"source_quote: In non-monsoon, BOD5 ranged from 1.5 mg/L at Paonta to 53.9 mg/L at Delhi with an average value of 14.7 mg/L."
220,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section","Delhi, a monitoring station on the Yamuna River",,,Biochemical Oxygen Demand (5-day),,,water,Grab sample,non-monsoon (November to June),seasonal,53.9,,,,,,,,,mg/L,"source_quote: In non-monsoon, BOD5 ranged from 1.5 mg/L at Paonta to 53.9 mg/L at Delhi with an average value of 14.7 mg/L."
221,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Five-day biochemical oxygen demand' section",,,,Biochemical Oxygen Demand (5-day),,,,,,seasonal,,,,,,,class B criterion,<,3.0,mg/L,source_quote: The average BOD5 level in the Yamuna River from Paonta to Palla was within the criterion of class B (≤ 3 mg/L).
203,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Temperature' section",,,,Temperature,,,,,monsoon (July to October),seasonal,,33.2,2.2,,,,entire Yamuna River stretch,,,°C,"source_quote: The average temperature data were 33.2±2.2 °C and 27.7±2.0 °C during the monsoon and non-monsoon seasons, respectively."
204,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'Temperature' section",,,,Temperature,,,,,non-monsoon (November to June),seasonal,,27.7,2.0,,,,entire Yamuna River stretch,,,°C,"source_quote: The average temperature data were 33.2±2.2 °C and 27.7±2.0 °C during the monsoon and non-monsoon seasons, respectively."
205,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'pH' section","Agra, a monitoring station on the Yamuna River",,,pH,,,water,Grab sample,monsoon (July to October),seasonal,7.62,,,,,,,,,,"source_quote: During the monsoon season, the minimum and maximum pH values were reported at Agra (pH 7.62) and Kalanaur (pH 8.07), respectively."
206,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'pH' section","Kalanaur, a monitoring station on the Yamuna River",,,pH,,,water,Grab sample,monsoon (July to October),seasonal,8.07,,,,,,,,,,"source_quote: During the monsoon season, the minimum and maximum pH values were reported at Agra (pH 7.62) and Kalanaur (pH 8.07), respectively."
207,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'pH' section","Delhi, a monitoring station on the Yamuna River",,,pH,,,water,Grab sample,non-monsoon (November to June),seasonal,7.6,,,,,,,,,,"source_quote: In the non-monsoon period, the pH values varied between 7.60 at Delhi and 8.47 at Etawah."
208,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 5, 'pH' section","Etawah, a monitoring station on the Yamuna River",,,pH,,,water,Grab sample,non-monsoon (November to June),seasonal,8.47,,,,,,,,,,"source_quote: In the non-monsoon period, the pH values varied between 7.60 at Delhi and 8.47 at Etawah."
222,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section",,,,Total Dissolved Solids,,,,,monsoon (July to October),seasonal,,,,117.0,353.0,,entire Yamuna River stretch,,,mg/L,source_quote: The TDS levels ranged between 117 and 353 mg/L during the monsoon period and between 169 and 940 mg/L during the non-monsoon season.
223,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section",,,,Total Dissolved Solids,,,,,non-monsoon (November to June),seasonal,,,,169.0,940.0,,entire Yamuna River stretch,,,mg/L,source_quote: The TDS levels ranged between 117 and 353 mg/L during the monsoon period and between 169 and 940 mg/L during the non-monsoon season.
224,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section","Paonta, an upstream monitoring station on the Yamuna River",,,Total Dissolved Solids,,,water,Grab sample,monsoon (July to October),seasonal,117.0,,,,,,,,,mg/L,"source_quote: The minimum and maximum TDS values were reported at Paonta and Agra, respectively (Supplementary file; Tables S2 and S3)."
225,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section","Agra, a monitoring station on the Yamuna River",,,Total Dissolved Solids,,,water,Grab sample,non-monsoon (November to June),seasonal,940.0,,,,,,,,,mg/L,"source_quote: The minimum and maximum TDS values were reported at Paonta and Agra, respectively (Supplementary file; Tables S2 and S3)."
226,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section",,,,Total Dissolved Solids,,,,,monsoon (July to October),seasonal,,,,,,,class A permissible limit,<,500.0,mg/L,"source_quote: During the monsoon season, the TDS values suggested that the river could be suitable for drinking purposes after disinfection (TDS ≤500 mg/L; class A) (IS 1982)."
227,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section",,,,Total Dissolved Solids,,,,,,seasonal,,,,,,,class C permissible limit,<,1500.0,mg/L,source_quote: All sites observed acceptable TDS levels ≤ 1500 mg/L for class C and ≤2100 mg/L for class E (IS 1982).
228,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 6, 'Total dissolved solids' section",,,,Total Dissolved Solids,,,,,,seasonal,,,,,,,class E permissible limit,<,2100.0,mg/L,source_quote: All sites observed acceptable TDS levels ≤ 1500 mg/L for class C and ≤2100 mg/L for class E (IS 1982).
229,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section","Paonta, an upstream monitoring station on the Yamuna River",,,Electrical Conductivity,,,water,Grab sample,monsoon (July to October),seasonal,195.0,,,,,,,,,μS/cm,"source_quote: The minimum EC values of 195 and 281 μS/cm were reported at Paonta during the monsoon and non-monsoon seasons, respectively."
230,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section","Paonta, an upstream monitoring station on the Yamuna River",,,Electrical Conductivity,,,water,Grab sample,non-monsoon (November to June),seasonal,281.0,,,,,,,,,μS/cm,"source_quote: The minimum EC values of 195 and 281 μS/cm were reported at Paonta during the monsoon and non-monsoon seasons, respectively."
231,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section","Agra, a monitoring station on the Yamuna River",,,Electrical Conductivity,,,water,Grab sample,monsoon (July to October),seasonal,588.0,,,,,,,,,μS/cm,"source_quote: Additionally, the highest EC observations were found at Agra with values of 588 μS/cm during monsoon and 1567 μS/cm during non-monsoon."
232,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section","Agra, a monitoring station on the Yamuna River",,,Electrical Conductivity,,,water,Grab sample,non-monsoon (November to June),seasonal,1567.0,,,,,,,,,μS/cm,"source_quote: Additionally, the highest EC observations were found at Agra with values of 588 μS/cm during monsoon and 1567 μS/cm during non-monsoon."
233,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section",,,,Electrical Conductivity,,,,,non-monsoon (November to June),seasonal,,,,,,,class D allowable limit,>,1000.0,μS/cm,"source_quote: These results indicated that water at Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, and Hamirpur exceeded the allowable EC of 1000 μS/cm according to class D during non-monsoon (IS 1982)."
234,"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8","Page 7, 'Electrical conductivity' section",,,,Electrical Conductivity,,,,,,seasonal,,,,,,,class E permissible limit,<,2250.0,μS/cm,"source_quote: Additionally, all sites that contained permissible limits of EC according to class E (≤2250 μS/cm; Table 1) were applicable for industrial cooling and irrigation (IS 1982)."
