paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S28,Jal Vihar Lajpat Nagar,28.579175,77.245748,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S29,Sector 3 RK Puram,28.553089,77.185567,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S30,Adrash Colony RK Puram,28.560986,77.184212,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S31,Mudirka Marg RK Puram,28.570197,77.182979,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S32,Ekta Vihar RK Puram,28.56769,77.177174,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S33,Somnath Marg RK Puram,28.571963,77.172592,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S34,Block A Vasant Vihar,28.562217,77.167989,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S35,Basant Lok Vasant Vihar,28.560094,77.167748,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S36,"Arjun Nagar, Ansari Nagar",28.562742,77.201656,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S37,Yusuf Sarai Gautam Nagar,28.56054,77.209201,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S38,East Kidwai Nagar,28.573563,77.215282,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S39,Ambedkar Nagar II,28.520212,77.237032,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S40,Sheikh Sarai Village,28.535949,77.222999,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S41,Teen Murti Marg,28.603319,77.196586,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S42,Bus Depot Nizamuddin,28.590256,77.240646,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S43,Sarai Kale Khan,28.584052,77.26609,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",parameter,,,,,,,,,P1,Biochemical Oxygen Demand,Biological Oxygen Demand (BOD),,Organic Pollution Indicator,mg/L,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,"Delhi Jal Board (DJB) water quality laboratory, Office of the Chief Water Analyst III, Okhla Tank, Mathura Road, New Delhi-110020",Water quality parameters (BOD) of samples from 43 monitoring locations,"1, 4"
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,Shuttle Radar Topography Mission Digital Elevation Model (SRTM DEM),30-m resolution DEM for watershed and stream network delineation,3
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,"Department of Irrigation & Flood Control (I&FC), Govt. of Delhi",Natural drainage map for validation,3
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,Delhi Urban Shelter Improvement Board (DUSIB),"Spatial map of Jhugri Jhogri Colonies (JJCs, informal settlements/slums)",3
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,publicly available GitHub repository,Locality map of NCT Delhi,3
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",data_source,,,,,,,,,,,,,,,local communities,Qualitative interviews regarding pollution sources in major pollution hotspots,"1, 6"
