Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
172,D/S of Agra,,,2020,,Electrical Conductivity,875-1920,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
173,D/S of Agra,,,2020,,Biochemical Oxygen Demand,9.1-25.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
174,D/S of Agra,,,2020,,Fecal Coliform,450-6100000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
175,D/S of Agra,,,2020,,Total Coliform,2200-32000000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
176,Bateswar,,,2020,,pH,7.8-7.9,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
177,Bateswar,,,2020,,Dissolved Oxygen,2.6-9.2,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
178,Bateswar,,,2020,,Electrical Conductivity,1054-1471,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
179,Bateswar,,,2020,,Biochemical Oxygen Demand,14.0-20.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
180,Bateswar,,,2020,,Fecal Coliform,450-1400,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
181,Bateswar,,,2020,,Total Coliform,3300-13000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
182,Etawah,,,2020,,pH,7.7-7.9,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
183,Etawah,,,2020,,Dissolved Oxygen,7.3-7.3,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
184,Etawah,,,2020,,Electrical Conductivity,1288-1507,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
185,Etawah,,,2020,,Biochemical Oxygen Demand,13.0-15.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
186,Etawah,,,2020,,Fecal Coliform,20-200,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
187,Etawah,,,2020,,Total Coliform,1300-1700,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
188,"Juhika B/C with Chambal, Etawah",,,2020,,pH,7.7-8.2,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
189,"Juhika B/C with Chambal, Etawah",,,2020,,Dissolved Oxygen,8.1-11.3,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
190,"Juhika B/C with Chambal, Etawah",,,2020,,Electrical Conductivity,846-937,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
191,"Juhika B/C with Chambal, Etawah",,,2020,,Biochemical Oxygen Demand,8.7-13.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
192,"Juhika B/C with Chambal, Etawah",,,2020,,Fecal Coliform,68-7800,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
193,"Juhika B/C with Chambal, Etawah",,,2020,,Total Coliform,1700-220000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
194,Hamirpur,,,2020,,pH,8.0-8.4,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
195,Hamirpur,,,2020,,Dissolved Oxygen,0.4-8.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
196,Hamirpur,,,2020,,Electrical Conductivity,750-832,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
197,Hamirpur,,,2020,,Biochemical Oxygen Demand,2.8-6.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
198,Hamirpur,,,2020,,Fecal Coliform,330-2200,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
199,Hamirpur,,,2020,,Total Coliform,1300-13000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
200,Allahabad D/S (Balua Ghat),,,2020,,Temperature,22-27,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
201,Allahabad D/S (Balua Ghat),,,2020,,pH,7.8-8.4,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
202,Allahabad D/S (Balua Ghat),,,2020,,Dissolved Oxygen,7.3-11.5,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
203,Allahabad D/S (Balua Ghat),,,2020,,Electrical Conductivity,418-725,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
204,Allahabad D/S (Balua Ghat),,,2020,,Biochemical Oxygen Demand,1.8-2.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
205,Allahabad D/S (Balua Ghat),,,2020,,Fecal Coliform,310-2100,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
206,Allahabad D/S (Balua Ghat),,,2020,,Total Coliform,1700-3900,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
